model_id,domain,arch,scale,distribution,seed,held_out,config,checkpoint,status,notes
othello_lstm_medium_championship_s2,othello,lstm,medium,championship,2,no,configs/runs/othello_lstm_medium_championship_s2.yaml,checkpoints/othello_lstm_medium_championship_s2/model.pt,planned,
othello_lstm_medium_mixed_s0,othello,lstm,medium,mixed,0,no,configs/runs/othello_lstm_medium_mixed_s0.yaml,checkpoints/othello_lstm_medium_mixed_s0/model.pt,planned,
othello_lstm_medium_mixed_s1,othello,lstm,medium,mixed,1,no,configs/runs/othello_lstm_medium_mixed_s1.yaml,checkpoints/othello_lstm_medium_mixed_s1/model.pt,planned,
othello_lstm_medium_mixed_s2,othello,lstm,medium,mixed,2,no,configs/runs/othello_lstm_medium_mixed_s2.yaml,checkpoints/othello_lstm_medium_mixed_s2/model.pt,planned,
othello_lstm_large_synthetic_s0,othello,lstm,large,synthetic,0,no,configs/runs/othello_lstm_large_synthetic_s0.yaml,checkpoints/othello_lstm_large_synthetic_s0/model.pt,planned,
othello_lstm_large_synthetic_s1,othello,lstm,large,synthetic,1,no,configs/runs/othello_lstm_large_synthetic_s1.yaml,checkpoints/othello_lstm_large_synthetic_s1/model.pt,planned,
othello_lstm_large_synthetic_s2,othello,lstm,large,synthetic,2,no,configs/runs/othello_lstm_large_synthetic_s2.yaml,checkpoints/othello_lstm_large_synthetic_s2/model.pt,planned,
othello_lstm_large_championship_s0,othello,lstm,large,championship,0,no,configs/runs/othello_lstm_large_championship_s0.yaml,checkpoints/othello_lstm_large_championship_s0/model.pt,planned,
othello_lstm_large_championship_s1,othello,lstm,large,championship,1,no,configs/runs/othello_lstm_large_championship_s1.yaml,checkpoints/othello_lstm_large_championship_s1/model.pt,planned,
othello_lstm_large_championship_s2,othello,lstm,large,championship,2,no,configs/runs/othello_lstm_large_championship_s2.yaml,checkpoints/othello_lstm_large_championship_s2/model.pt,planned,
othello_lstm_large_mixed_s0,othello,lstm,large,mixed,0,no,configs/runs/othello_lstm_large_mixed_s0.yaml,checkpoints/othello_lstm_large_mixed_s0/model.pt,planned,
othello_lstm_large_mixed_s1,othello,lstm,large,mixed,1,no,configs/runs/othello_lstm_large_mixed_s1.yaml,checkpoints/othello_lstm_large_mixed_s1/model.pt,planned,
othello_lstm_large_mixed_s2,othello,lstm,large,mixed,2,no,configs/runs/othello_lstm_large_mixed_s2.yaml,checkpoints/othello_lstm_large_mixed_s2/model.pt,planned,
othello_mamba_small_synthetic_s0,othello,mamba,small,synthetic,0,yes,configs/runs/othello_mamba_small_synthetic_s0.yaml,checkpoints/othello_mamba_small_synthetic_s0/model.pt,planned,
othello_mamba_small_synthetic_s1,othello,mamba,small,synthetic,1,yes,configs/runs/othello_mamba_small_synthetic_s1.yaml,checkpoints/othello_mamba_small_synthetic_s1/model.pt,planned,
othello_mamba_small_synthetic_s2,othello,mamba,small,synthetic,2,yes,configs/runs/othello_mamba_small_synthetic_s2.yaml,checkpoints/othello_mamba_small_synthetic_s2/model.pt,planned,
othello_mamba_small_championship_s0,othello,mamba,small,championship,0,yes,configs/runs/othello_mamba_small_championship_s0.yaml,checkpoints/othello_mamba_small_championship_s0/model.pt,planned,
othello_mamba_small_championship_s1,othello,mamba,small,championship,1,yes,configs/runs/othello_mamba_small_championship_s1.yaml,checkpoints/othello_mamba_small_championship_s1/model.pt,planned,
othello_mamba_small_championship_s2,othello,mamba,small,championship,2,yes,configs/runs/othello_mamba_small_championship_s2.yaml,checkpoints/othello_mamba_small_championship_s2/model.pt,planned,
